class,leftX,leftY,leftZ,rightX,rightY,rightZ
3,-781.2494,91.15905,1937.047,295.5735,317.2638,2173.493
3,-783.4819,90.04066,1940.832,288.8264,311.5387,2170.604
3,-785.4094,87.49796,1946.164,282.7924,313.3125,2171.138
3,-783.2889,85.14472,1949.559,277.2162,310.475,2166.602
3,-783.2855,85.70544,1957.447,272.3369,311.8643,2166.272
3,-784.5685,84.1871,1964.817,273.7023,313.1147,2167.465
3,-783.695,82.84467,1969.06,268.961,318.6552,2166.714
3,-813.0752,88.90254,1979.567,266.9123,322.5101,2168.153
3,-699.3522,52.75176,2033.432,243.1472,322.7687,2173.251
3,-789.7866,73.5841,2019.999,241.3194,324.2857,2179.964
3,-816.5338,80.9172,2019.111,241.7742,324.9321,2179.968
3,-827.7564,79.26611,2018.985,230.7959,320.5219,2180.314
3,-837.1171,75.20499,2014.787,226.037,317.06,2182.003
3,-844.462,71.00959,2012.817,218.033,319.8255,2184.051
3,-895.2659,77.28516,2010.052,211.9024,320.1125,2184.234
3,-836.5547,58.08635,2006.555,200.1302,316.1866,2189.085
3,-877.0098,68.64014,2010.924,198.9814,316.1888,2184.58
3,-928.4584,76.75518,2010.174,188.9146,311.7195,2190.172
3,-944.0266,76.33832,2021.639,181.1784,310.9547,2189.035
3,-948.5995,74.73802,2016.654,170.8481,309.0555,2185.777
3,-964.7657,81.88262,2020.598,166.7971,310.1159,2188.248
3,-965.4916,76.29709,2007.4,158.0313,312.2805,2188.661
3,-971.128,80.9379,2005.981,150.3927,313.4583,2189.654
3,-988.5463,76.90926,2010.688,141.5409,308.7012,2185.207
3,-986.382,79.24312,2000.74,136.1611,306.9529,2185.525
3,-995.499,82.91348,1999.753,130.0789,309.131,2183.414
3,-993.6144,82.94214,1996.659,128.7601,309.6769,2186.261
3,-975.9109,79.08086,1991.55,127.4055,307.1046,2185.179
3,-968.2276,81.44024,1990.235,128.1133,304.1465,2185.759
3,-967.2422,83.27565,1989.1,123.5581,302.516,2181.149
3,-967.6634,83.43325,1990.227,123.821,303.1328,2179.35
3,-966.1804,84.69419,1986.108,124.0009,303.3093,2178.312
3,-967.2963,82.50975,1987.838,118.1809,302.8383,2174.833
3,-966.8289,83.71041,1987.15,116.672,303.0226,2175.766
3,-966.7925,83.89066,1987.025,119.3781,305.3483,2174.294
3,-960.9196,83.08665,1983.864,115.7722,311.1227,2173.275
3,-959.8901,84.35244,1984.507,119.7273,315.402,2171.138
3,-959.0011,82.81101,1980.86,121.4649,315.1994,2165.83
3,-963.8505,83.57272,1982.133,117.7569,317.1256,2165.659
3,-963.0238,79.21558,1981.438,118.5926,320.3236,2165.653
3,-961.7932,77.54279,1979.092,119.4698,327.3362,2164.296
3,-961.9719,77.0353,1977.413,114.7406,327.4746,2163.975
3,-961.8558,77.22909,1976.385,115.3324,326.0798,2159.675
3,-962.3598,75.04067,1976.522,109.674,324.1245,2153.774
3,-963.0873,74.07603,1971.545,108.8808,325.3374,2154.249
3,-968.1896,72.87967,1972.475,104.7134,326.5131,2148.254
3,-971.1918,72.50327,1968.108,94.06742,331.1558,2145.331
3,-945.9891,107.1867,1867.222,134.8854,370.2018,2025.951
3,-970.8641,116.015,1871.607,137.9925,371.4327,2022.793
3,-793.2563,98.71246,1792.634,156.3473,381.821,1964.801
3,-803.0104,105.3926,1789.938,164.9848,385.2162,1966.081
3,-891.7377,131.8907,1791.013,171.0361,382.995,1964.84
3,-892.0782,132.5586,1790.465,179.3935,381.8205,1961.434
3,-892.1859,135.1535,1792.072,183.5968,385.2701,1960.415
3,-887.984,135.7332,1790.732,189.603,387.7706,1961.766
3,-883.3636,136.7818,1795.695,197.701,384.3375,1959.679
3,-874.5321,135.7437,1796.066,205.0169,385.4836,1959.948
3,-866.9239,136.2822,1792.935,209.6902,382.903,1959.16
3,-863.2258,135.2229,1796.544,217.0315,376.3735,1959.198
3,-859.7786,129.9947,1798.204,223.4824,374.6504,1956.205
3,-852.7262,126.4099,1801.083,232.079,379.6833,1952.302
